1779696964|t_b94988d2|created|{"assignee": "planner", "status": "ready", "parents": [], "tenant": null, "branch_name": null, "skills": null}
1779697014|t_b94988d2|claimed|{"lock": "K-514010200546:476", "expires": 1779697914, "run_id": 1}
1779697014|t_b94988d2|spawned|{"pid": 27464}
1779697104|t_2b983502|created|{"assignee": "researcher", "status": "todo", "parents": ["t_b94988d2"], "tenant": null, "branch_name": null, "skills": null}
1779697104|t_08647b01|created|{"assignee": "planner", "status": "todo", "parents": ["t_2b983502"], "tenant": null, "branch_name": null, "skills": null}
1779697105|t_278be576|created|{"assignee": "reviewer", "status": "todo", "parents": ["t_08647b01"], "tenant": null, "branch_name": null, "skills": null}
1779697105|t_144d7c10|created|{"assignee": "documenter", "status": "todo", "parents": ["t_278be576"], "tenant": null, "branch_name": null, "skills": null}
1779697105|t_9cbacb2a|created|{"assignee": "developer-general", "status": "todo", "parents": ["t_144d7c10"], "tenant": null, "branch_name": "feat/ssh-mcp-toml-approvals-webui", "skills": null}
1779697106|t_9cbacb2a|linked|{"parent": "t_278be576", "child": "t_9cbacb2a"}
1779697106|t_e5df6872|created|{"assignee": "reviewer", "status": "todo", "parents": ["t_9cbacb2a"], "tenant": null, "branch_name": null, "skills": null}
1779697106|t_211f6446|created|{"assignee": "fleet-archiver", "status": "todo", "parents": ["t_e5df6872"], "tenant": null, "branch_name": null, "skills": null}
1779697214|t_2d87e8fa|created|{"assignee": "developer-general", "status": "todo", "parents": ["t_b94988d2"], "tenant": null, "branch_name": null, "skills": null}
1779697215|t_67320e65|created|{"assignee": "developer-general", "status": "todo", "parents": ["t_b94988d2"], "tenant": null, "branch_name": null, "skills": null}
1779697217|t_c857745f|created|{"assignee": "developer-general", "status": "todo", "parents": ["t_b94988d2"], "tenant": null, "branch_name": null, "skills": null}
1779697243|t_4e2a635b|created|{"assignee": "developer-general", "status": "todo", "parents": ["t_b94988d2"], "tenant": null, "branch_name": null, "skills": null}
1779697245|t_5d02508b|created|{"assignee": "developer-general", "status": "todo", "parents": ["t_b94988d2", "t_2d87e8fa", "t_67320e65", "t_c857745f"], "tenant": null, "branch_name": null, "skills": null}
1779697259|t_5d02508b|linked|{"parent": "t_4e2a635b", "child": "t_5d02508b"}
1779697261|t_310c0ec1|created|{"assignee": "developer-general", "status": "todo", "parents": ["t_b94988d2", "t_5d02508b"], "tenant": null, "branch_name": null, "skills": null}
1779697273|t_b94988d2|completed|{"result_len": 0, "summary": "Planned ssh-mcp-kerberos TOML+audit+approval+WebUI epic. Plan saved at .hermes/plans/2026-05-25_ssh-mcp-toml-audit-approvals-webui.md. Fanned out into six developer-general sub-tasks linked as children of t_b94988d2: toml-config (t_2d87e8fa), audit-log (t_67320e65), approval-engine (t_c857745f), webui-status (t_4e2a635b), e2e-smoke (t_5d02508b, gated on the four above), docs-examples (t_310c0ec1, ", "verified_cards": ["t_2d87e8fa", "t_67320e65", "t_c857745f", "t_4e2a635b", "t_5d02508b", "t_310c0ec1"]}
1779697273|t_2b983502|promoted|{}
1779697273|t_2d87e8fa|promoted|{}
1779697273|t_67320e65|promoted|{}
1779697273|t_c857745f|promoted|{}
1779697273|t_4e2a635b|promoted|{}
1779697314|t_2b983502|claimed|{"lock": "K-514010200546:476", "expires": 1779698214, "run_id": 2}
1779697315|t_2b983502|spawned|{"pid": 30723}
1779697315|t_2d87e8fa|claimed|{"lock": "K-514010200546:476", "expires": 1779698215, "run_id": 3}
1779697315|t_2d87e8fa|spawned|{"pid": 30724}
1779697315|t_67320e65|claimed|{"lock": "K-514010200546:476", "expires": 1779698215, "run_id": 4}
1779697315|t_67320e65|spawned|{"pid": 30725}
1779697315|t_c857745f|claimed|{"lock": "K-514010200546:476", "expires": 1779698215, "run_id": 5}
1779697315|t_c857745f|spawned|{"pid": 30726}
1779697315|t_4e2a635b|claimed|{"lock": "K-514010200546:476", "expires": 1779698215, "run_id": 6}
1779697315|t_4e2a635b|spawned|{"pid": 30727}
